"region","gender","2018","2022"
"01 Stockholms län","män",5.9,6.7
"01 Stockholms län","kvinnor",5.5,7.3
"01 Stockholms län","totalt",5.7,7.0
"03 Uppsala län","män",4.5,7.9
"03 Uppsala län","kvinnor",6.6,8.3
"03 Uppsala län","totalt",5.5,8.1
"04 Södermanlands län","män",7.4,11.2
"04 Södermanlands län","kvinnor",8.3,14.0
"04 Södermanlands län","totalt",7.8,12.5
"05 Västergötlands län","män",8.0,8.7
"05 Västergötlands län","kvinnor",7.6,9.3
"05 Västergötlands län","totalt",7.8,9.0
"06 Jönkäpings län","män",4.5,3.8
"06 Jönkäpings län","kvinnor",6.3,8.2
"06 Jönkäpings län","totalt",5.3,5.8
"07 Kronobergs län","män",7.9,6.3
"07 Kronobergs län","kvinnor",6.9,..
"07 Kronobergs län","totalt",7.4,6.4
"08 Kalmar län","män",4.4,6.0
"08 Kalmar län","kvinnor",6.4,..
"08 Kalmar län","totalt",5.4,6.7
"09 Gotlands län","män",..,..
"09 Gotlands län","kvinnor",..,..
"09 Gotlands län","totalt",4.3,..
"10 Blekinge län","män",10.3,9.0
"10 Blekinge län","kvinnor",8.5,9.7
"10 Blekinge län","totalt",9.5,9.3
"12 Skåne län","män",9.2,8.7
"12 Skåne län","kvinnor",8.0,9.9
"12 Skåne län","totalt",8.6,9.3
"13 Hallands län","män",6.1,5.6
"13 Hallands län","kvinnor",3.3,5.3
"13 Hallands län","totalt",4.8,5.5
"14 Västra Gätalands län","män",5.8,5.9
"14 Västra Gätalands län","kvinnor",6.0,7.3
"14 Västra Gätalands län","totalt",5.9,6.5
"17 Värmlands län","män",5.7,6.3
"17 Värmlands län","kvinnor",4.9,7.3
"17 Värmlands län","totalt",5.3,6.7
"18 ärebro län","män",7.4,9.1
"18 ärebro län","kvinnor",7.8,7.2
"18 ärebro län","totalt",7.6,8.2
"19 Västmanlands län","män",7.3,9.7
"19 Västmanlands län","kvinnor",9.2,12.2
"19 Västmanlands län","totalt",8.2,10.9
"20 Dalarnas län","män",8.2,7.6
"20 Dalarnas län","kvinnor",5.6,6.8
"20 Dalarnas län","totalt",6.9,7.2
"21 Gävleborgs län","män",6.2,9.9
"21 Gävleborgs län","kvinnor",8.0,8.4
"21 Gävleborgs län","totalt",7.0,9.2
"22 Västernorrlands län","män",5.8,7.4
"22 Västernorrlands län","kvinnor",5.3,..
"22 Västernorrlands län","totalt",5.6,6.3
"23 Jämtlands län","män",4.9,7.9
"23 Jämtlands län","kvinnor",5.8,6.2
"23 Jämtlands län","totalt",5.3,7.1
"24 Västerbottens län","män",5.8,5.3
"24 Västerbottens län","kvinnor",6.9,..
"24 Västerbottens län","totalt",6.3,5.3
"25 Norrbottens län","män",4.8,..
"25 Norrbottens län","kvinnor",4.6,..
"25 Norrbottens län","totalt",4.7,5.0
